ra dec Kp
9.836749 3.261762 11.14
12.785361 -0.3297 11.14
11.247733 4.05908 11.15
11.050779 4.450409 11.15
17.081623 2.716701 11.15
13.288723 9.726041 11.15
21.614244 1.167117 11.15
18.278351 4.421463 11.15
12.944891 -1.385005 11.15
15.193453 10.256735 11.15
22.836704 5.046408 11.15
15.910428 0.831104 11.15
18.225261 10.65719 11.16
12.856834 5.737594 11.16
11.179697 6.000722 11.16
17.073448 -0.88368 11.16
14.535184 4.522315 11.17
18.405394 2.137234 11.17
15.867411 11.246129 11.17
17.025864 2.761264 11.17
16.600056 -0.627308 11.18
23.325169 6.646076 11.18
16.30164 8.500872 11.18
16.045995 10.860101 11.18
15.462739 9.546373 11.19
19.690388 1.234421 11.19
19.228697 7.747238 11.19
19.389719 7.106995 11.2
22.961569 5.959086 11.2
16.353547 11.737443 11.2
14.990374 3.840783 11.2
13.817698 2.321918 11.2
13.396316 9.608274 11.21
12.278613 5.133971 11.21
12.502693 2.624782 11.21
20.12522 10.814481 11.21
19.353669 0.807348 11.22
14.621536 7.285813 11.22
22.240844 5.523298 11.22
22.210552 1.532239 11.23
18.189539 7.43736 11.23
22.066452 2.664923 11.23
14.536968 3.775753 11.23
16.276962 8.444661 11.23
23.022347 4.172052 11.24
12.741059 -0.38111 11.24
16.113728 0.296264 11.24
13.079947 5.064703 11.24
18.298224 3.467377 11.25
14.899422 11.99104 11.25
16.86348 -0.482672 11.25
12.037748 9.697906 11.25
13.45003 9.334099 11.25
22.161747 1.58237 11.25
12.817402 5.789846 11.26
23.28816 6.936912 11.27
18.914275 0.459231 11.27
19.269288 11.645052 11.27
12.618154 5.702637 11.27
20.305213 -0.142262 11.27
17.380883 4.584107 11.28
21.515063 1.553267 11.28
16.095644 5.169143 11.28
12.945658 10.014676 11.28
17.729135 10.076705 11.29
17.124779 3.34939 11.29
14.498982 4.549016 11.29
17.469976 9.770708 11.3
15.172189 8.102633 11.3
22.845317 2.944186 11.3
18.357461 7.648754 11.3
18.836175 3.085081 11.3
17.09683 -1.453026 11.3
11.766125 2.738552 11.31
15.961296 5.27572 11.31
17.478984 9.007786 11.31
21.995748 5.574658 11.32
11.957343 9.686312 11.32
13.105151 3.376049 11.32
13.31651 11.150922 11.32
20.033215 11.094891 11.33
15.283797 11.423991 11.33
11.366694 9.214089 11.33
19.277068 6.772911 11.33
17.656552 -1.805649 11.34
15.560664 11.587109 11.34
13.309594 0.055275 11.35
16.557995 -0.858378 11.35
18.44623 7.030342 11.35
12.521617 -0.543007 11.35
9.301499 8.152119 11.35
10.331998 4.228648 11.36
11.07616 9.139035 11.36
15.489377 2.044452 11.36
23.235035 6.016743 11.36
14.831553 8.933447 11.36
15.687115 5.602416 11.36
12.586898 5.374554 11.36
10.73655 7.261596 11.37
21.101073 2.576666 11.37
17.72303 3.733302 11.37
10.17455 7.723303 11.37
22.55322 5.09192 11.37
17.676029 9.994359 11.37
14.180915 2.850996 11.38
10.798766 7.209194 11.38
11.742281 2.967782 11.38
16.523033 1.480069 11.38
21.678453 6.797969 11.38
11.263547 4.334793 11.38
13.973052 11.86515 11.38
16.114997 11.006218 11.39
13.50265 5.673323 11.39
13.311214 0.833837 11.39
