# ra (deg)
# ___ right ascension (J2000 decimal deg)
# dec (deg)
# ___ declination (J2000 decimal deg)
# err_maj (arcsec)
# ___ Semi-major axis length of the one sigma position uncertainty ellipse
# err_min (arcsec)
# ___ Semi-minor axis length of the one sigma position uncertainty ellipse
# err_ang (deg)
# ___ angle of error ellipse major axis (E of N)
# designation
# ___ source designation formed from sexigesimal coordinates
# j_m (mag)
# ___ J band selected "default" magnitude
# j_cmsig (mag)
# ___ corrected J band photometric uncertainty
# j_msigcom (mag)
# ___ combined (total) J band photometric uncertainty
# j_snr
# ___ J band "scan" signal-to-noise ratio
# h_m (mag)
# ___ H band selected "default" magnitude
# h_cmsig (mag)
# ___ corrected H band photometric uncertainty
# h_msigcom (mag)
# ___ combined (total) H band photometric uncertainty
# h_snr
# ___ H band "scan" signal-to-noise ratio
# k_m (mag)
# ___ K band selected "default" magnitude
# k_cmsig (mag)
# ___ corrected K band photometric uncertainty
# k_msigcom (mag)
# ___ combined (total) K band photometric uncertainty
# k_snr
# ___ K band "scan" signal-to-noise ratio
# ph_qual
# ___ flag indicating photometric quality of source
# rd_flg
# ___ source of JHK "default" mags (AKA "read flag")
# bl_flg
# ___ indicates # JHK components fit simultaneously to source
# cc_flg
# ___ indicates JHK artifact contamination and/or confusion
# ndet
# ___ number of >3-sig. ap. mag measurements, # possible (jjhhkk)
# gal_contam
# ___ flag indicating if src is contaminated by extended source
# mp_flg
# ___ src is positionally associated with an asteroid, comet, etc
# j_h ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
# h_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
# j_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
ra dec Kp j h k
351.588474 1.817197 11.118995690665658 9.955 9.672 9.577
351.644568 1.226172 10.788623080002413 8.38 7.557 7.469
351.675516 1.40968 11.138441508092654 10.036 9.807 9.705
351.702266 1.696478 9.195726580444848 8.085 7.813 7.748
351.719112 1.302265 9.753858377294963 8.442 8.037 7.946
351.900074 1.322975 10.638796907978122 9.46 9.138 9.07
351.996353 1.014547 11.088788291558366 9.268 8.685 8.54
352.037859 1.165946 10.461216771762036 8.829 8.354 8.167
344.457249 -5.868452 10.060278366746335 8.806 8.463 8.354
344.472818 -5.28276 11.250214414627312 9.964 9.614 9.487
344.542802 -6.57096 11.217719740452823 10.128 9.854 9.806
352.363686 0.298055 10.195100622009845 9.132 8.894 8.828
352.479756 0.441189 11.435485218564004 9.891 9.379 9.265
352.535919 0.509761 11.195041605484557 9.426 8.873 8.715
344.641313 -6.452263 9.693425644127688 8.716 8.516 8.463
344.64495 -7.014046 11.194965224473245 9.512 8.948 8.831
344.65835 -5.893144 9.740791298866716 8.698 8.466 8.407
344.660547 -5.916782 10.616181863560247 9.815 9.684 9.644
344.661298 -2.15242 11.475584448025439 10.101 9.687 9.563
344.666903 -6.785425 11.146004737216842 9.319 8.727 8.589
344.690963 -1.673386 10.732917422206805 9.069 8.53 8.395
344.696111 -6.234193 10.579356154430137 9.066 8.516 8.454
344.712398 -6.507933 10.747778569223865 9.151 8.603 8.503
344.730554 -7.168785 10.89993989922058 9.76 9.445 9.401
352.687899 0.376409 10.949637481068763 9.447 9.024 8.84
352.909809 0.003901 11.06982693910281 9.874 9.568 9.47
353.119471 0.811148 11.231491094041875 10.205 9.974 9.924
353.128087 0.97509 11.034965064197142 9.997 9.785 9.709
353.248084 0.463719 9.47141908458872 8.376 8.133 8.05
353.327051 0.641674 10.651100622009842 9.588 9.346 9.284
353.427238 1.021187 10.91257215114085 9.735 9.436 9.346
353.45547 0.355602 11.143716877877669 10.093 9.809 9.797
353.459536 1.210488 11.391944997228784 10.308 10.034 9.99
353.475592 0.556297 9.863817238461728 8.167 7.621 7.481
353.513684 0.179235 9.84281920434795 7.664 7.07 6.828
353.519617 0.483374 11.037052641348373 9.901 9.658 9.545
353.54711 0.646071 11.303576120523388 10.086 9.703 9.664
353.549416 0.798096 11.427778569223864 9.831 9.279 9.183
344.749443 -6.635564 11.17374047471988 9.842 9.431 9.332
344.754549 -1.654667 11.484384463113443 10.496 10.279 10.237
344.758392 -7.192616 11.075917249697987 9.59 9.07 8.991
344.777355 -1.79329 11.093118386672232 9.918 9.583 9.531
344.812783 -2.271038 10.270269523318602 9.291 9.094 9.037
344.827477 -6.284112 10.534901597367346 9.35 9.025 8.955
344.832762 -1.75021 10.789283775002014 9.265 8.707 8.648
353.583366 0.201378 10.27084658920438 9.217 9.023 8.919
353.586565 0.916616 11.414359962569677 10.268 9.967 9.904
353.633214 1.217926 9.096309923395566 7.847 7.465 7.399
353.660133 1.146316 10.949481573916245 9.261 8.698 8.578
353.682356 0.130254 10.74018732614639 9.442 9.073 8.956
353.694542 0.866663 11.305975022009159 10.152 9.847 9.782
353.78102 0.190909 9.176779205432444 8.361 8.253 8.184
353.837819 0.316503 10.400214414627312 9.114 8.748 8.637
353.878063 0.97179 9.475262415999998 8.606 8.483 8.406
353.907001 0.559915 11.282340460765347 9.976 9.549 9.484
353.955319 0.445452 10.042833559554683 8.604 8.14 8.029
353.963018 0.364797 10.73012936121824 9.498 9.136 9.064
354.005567 0.687883 10.62933570439823 9.071 8.602 8.439
344.856283 -2.336239 11.390480360531093 10.369 10.147 10.091
344.870142 -2.124379 10.589395902661327 9.504 9.264 9.185
344.904991 -1.621364 11.4322199665345 10.327 10.063 9.994
344.91426 -2.474281 11.385231272107305 9.781 9.21 9.13
344.920451 -7.395186 9.085192349942481 7.915 7.605 7.532
344.925003 -5.474175 10.306705083873227 9.1 8.777 8.687
354.028157 1.271283 10.642785322519755 9.424 9.118 9.001
354.068011 1.076542 10.953475625268236 9.05 8.483 8.296
354.132602 0.26291 10.130084522059317 9.097 8.9 8.812
354.162455 1.558732 11.0944031080836 9.505 8.977 8.86
354.258602 1.423126 9.636410114080451 7.369 6.701 6.506
354.366046 0.563034 11.445800438525438 10.302 10.007 9.94
354.371367 1.647171 10.73676458968242 9.232 8.735 8.624
354.469888 1.543307 11.370602839015323 10.264 10.004 9.93
354.512948 1.866111 9.908549122877126 8.192 7.7 7.499
354.593853 2.032969 9.403961795498013 7.817 7.276 7.173
354.595931 0.364668 11.449205175210937 10.228 9.843 9.803
344.940799 -6.375221 9.617403108083598 8.028 7.514 7.383
345.003995 -6.283591 10.068282435013119 8.491 7.972 7.851
345.02147 -6.10605 10.326809362414991 8.865 8.382 8.278
345.025514 -2.793202 10.539689466043558 9.81 9.704 9.667
354.606783 1.935795 9.097186720634877 8.107 7.956 7.847
354.628804 0.678245 11.095359962569674 9.949 9.662 9.585
354.633215 1.857654 10.718497487285736 9.513 9.184 9.101
354.657431 0.74365 11.186719221049477 10.019 9.746 9.638
354.668281 1.573196 9.137486523006311 7.395 6.83 6.693
354.67744 0.707989 11.16161607376329 9.967 9.592 9.564
354.697278 0.999326 11.282555537817734 9.942 9.502 9.426
354.702297 0.318705 10.340045831040841 9.239 9.002 8.909
354.728192 1.706136 11.086966852175285 10.16 9.959 9.933
354.728365 0.315431 11.478662049676629 10.408 10.15 10.099
354.733689 0.018369 10.622054514634758 9.359 8.979 8.9
354.734063 1.670903 10.78025422471226 9.181 8.678 8.532
354.79704 0.975773 9.755148767600762 8.727 8.555 8.445
354.807004 2.150184 11.266549005609095 10.145 9.811 9.8
354.807026 0.922574 11.455510828119206 10.326 10.035 9.975
354.892942 0.042403 11.103941351644162 9.573 9.063 8.953
354.903932 1.502265 9.703760430447332 9.02 8.926 8.894
354.98923 0.759218 11.356416404735093 9.482 8.885 8.737
355.018161 1.037579 10.695195762499463 9.184 8.681 8.573
355.035033 1.646567 9.654853008847255 8.063 7.532 7.417
355.049149 1.950709 10.995765687136476 9.806 9.666 9.407
355.05664 0.054623 9.713254224712268 8.114 7.566 7.465
355.074076 0.845412 9.899740457304938 8.332 7.811 7.696
355.085002 0.635628 10.00340808926028 8.505 8.028 7.9
355.105289 0.39378 9.134122620700346 7.304 6.775 6.573
355.128898 0.011623 10.874675435814888 9.918 9.731 9.676
355.15087 1.229624 11.304944997228784 10.221 9.962 9.903
355.227912 1.647768 9.450335149297548 7.702 7.111 6.998
355.258739 0.423268 10.173842326120017 9.418 9.349 9.265
355.25947 0.722223 11.306229502831382 9.645 9.11 8.972
355.261052 0.718632 10.073327566777376 8.863 8.529 8.447
355.293498 0.790046 9.745279758857599 8.486 8.169 8.03
355.299953 0.785575 11.098215913281159 9.445 8.9 8.775
355.313405 0.673965 10.03721706666273 8.913 8.603 8.566
355.330505 0.283117 9.49317849242112 7.301 6.645 6.461
355.33216 0.563453 11.06565352172786 9.998 9.747 9.691
355.365519 1.394547 11.042419084588719 9.947 9.716 9.621
355.366236 1.169103 10.141653521727862 9.074 8.832 8.767
355.492721 1.354369 9.88102849190598 8.8 8.551 8.484
355.500433 0.661619 9.8210252128121 8.435 8.053 7.89
355.50665 0.34448 10.717119095322637 9.531 9.222 9.135
355.530496 0.983594 10.328525489917581 9.073 8.685 8.62
355.570483 1.093168 11.00603816062459 9.946 9.768 9.644
355.652013 1.099702 11.311649557583554 10.238 9.991 9.927
355.674268 0.753665 9.682238783184195 8.517 8.259 8.138
345.038618 -6.07942 10.214119095322637 9.028 8.739 8.632
345.05467 -2.280167 9.780445449217506 8.749 8.52 8.465
345.058747 -6.720904 10.528498655756728 9.47 9.198 9.169
345.063956 -5.389427 10.496053582309372 9.559 9.369 9.327
345.071206 -7.782573 11.267356154430136 9.754 9.247 9.142
345.071418 -2.189705 9.440388135491546 8.396 8.149 8.104
345.129568 -1.40627 10.316716877877667 9.266 9.033 8.97
355.688761 0.442862 11.335160433204676 10.266 10.003 9.958
355.73768 0.790104 10.0303560997996 8.921 8.619 8.585
355.746366 0.599173 10.974298436222362 8.941 8.294 8.148
356.061226 0.504145 10.889140388032942 9.646 9.29 9.203
345.148466 -7.069283 9.531289747636965 8.327 7.954 7.916
345.155667 -2.471482 9.461800208582801 8.432 8.209 8.149
345.159767 -7.203994 9.706035279608304 7.925 7.399 7.21
345.189376 -1.452647 10.364908627293556 9.216 8.927 8.85
345.192293 -5.562922 9.823825658427197 8.903 8.711 8.679
345.206262 -6.094481 11.464920708110192 9.843 9.334 9.185
345.221843 -1.405382 10.274927238619146 9.35 9.172 9.124
345.25419 -5.705123 11.067125805709756 9.575 9.051 8.973
345.274812 -1.72917 10.480497487285739 9.275 8.938 8.863
345.327379 -6.693716 11.37191259253799 10.164 9.835 9.75
345.329581 -6.437611 9.928726580444845 8.818 8.523 8.481
345.331087 -6.34271 10.965730092290022 9.059 8.413 8.304
345.33162 -7.265893 10.625800438525438 9.482 9.175 9.12
345.331628 -6.721469 10.376219343139837 8.696 8.157 8.016
345.332297 -5.615113 10.688738460125 9.087 8.577 8.437
345.357429 -7.20666 10.836675073474094 9.299 8.823 8.676
