ra dec Kp
189.455559 -9.825057 11.77
186.454078 -4.645724 11.77
185.334557 -2.042823 11.77
185.347101 -6.36597 11.77
187.305274 -4.345268 11.78
185.983986 2.446556 11.78
183.752259 -5.888654 11.78
192.900049 -8.026717 11.78
188.826473 -2.54969 11.78
188.902994 -2.084267 11.78
187.23082 -7.504654 11.78
180.024549 -4.998083 11.78
187.589139 -10.431232 11.79
184.693753 -1.839135 11.79
180.905172 -0.898706 11.79
186.813258 -1.70484 11.79
186.674901 -9.16447 11.79
188.774901 2.006177 11.79
188.765473 1.688146 11.79
187.31754 -4.405409 11.79
183.03804 -9.794202 11.79
186.988814 -9.284002 11.8
184.874543 -0.645822 11.8
187.650748 -9.05011 11.8
185.292589 -0.243043 11.8
192.402175 -1.461771 11.8
188.840686 1.670466 11.8
183.230417 -6.857775 11.81
189.830801 -10.215275 11.81
193.644203 -1.805763 11.81
182.078776 -9.144329 11.81
184.845126 -0.678359 11.81
189.70933 -9.976878 11.81
189.207048 -5.293637 11.82
189.424369 -9.895694 11.82
187.925461 -9.245116 11.82
179.563075 -6.192153 11.82
180.467056 -3.048602 11.82
181.261086 -7.126296 11.82
189.30282 1.132154 11.82
184.721927 -4.444086 11.82
183.898222 3.253725 11.83
188.088017 -1.89263 11.83
185.764069 -10.343474 11.83
181.201284 -7.175381 11.83
187.006159 1.497101 11.83
186.780081 -7.995507 11.83
181.948821 -2.753003 11.83
186.465041 0.837856 11.83
187.138053 -0.311853 11.83
185.176619 -9.014381 11.84
185.7109 -4.07951 11.84
186.914382 -3.28959 11.84
189.188449 -9.21006 11.85
191.272173 1.569639 11.85
185.636787 -4.125932 11.85
182.576423 -6.375453 11.85
188.800234 1.114365 11.85
186.820487 -8.744288 11.86
186.520509 -1.415284 11.86
189.452682 -3.530645 11.86
191.063786 -1.050634 11.86
188.901293 -2.426762 11.86
182.352009 -10.053209 11.87
189.502402 -11.090865 11.87
179.957248 -6.938864 11.87
181.6035 -5.284089 11.88
190.331793 -3.829162 11.88
189.152269 -5.297574 11.88
193.049703 -2.033397 11.88
186.999815 -1.098691 11.88
180.855215 -0.874836 11.88
188.364513 -9.676411 11.88
185.655956 -4.174507 11.88
187.553235 -10.38829 11.88
189.610654 0.906458 11.88
184.00014 -4.195714 11.89
192.794237 -7.304015 11.89
183.12972 -10.244447 11.89
